asset_id,image_path,mask_path,gender_label,confidence_bucket,quality_score,review_notes,status
celeba_hair_000002,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000002.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000002_mask.png,female,high,1.0,sample_reference,reviewed_keep
celeba_hair_000003,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000003.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000003_mask.png,male,medium,0.96,sample_reference,reviewed_keep
celeba_hair_000004,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000004.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000004_mask.png,male,medium,0.96,sample_reference,reviewed_keep
celeba_hair_000005,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000005.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000005_mask.png,female,high,1.0,sample_reference,reviewed_keep
celeba_hair_000006,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000006.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000006_mask.png,male,medium,0.96,sample_reference,reviewed_keep
celeba_hair_000009,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000009.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000009_mask.png,male,medium,1.0,sample_reference,reviewed_keep
celeba_hair_000011,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000011.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000011_mask.png,female,high,1.0,sample_reference,reviewed_keep
celeba_hair_000012,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000012.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000012_mask.png,female,high,1.0,sample_reference,reviewed_keep
celeba_hair_000013,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000013.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000013_mask.png,male,medium,0.96,sample_reference,reviewed_keep
celeba_hair_000014,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000014.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000014_mask.png,female,high,1.0,sample_reference,reviewed_keep
celeba_hair_000015,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000015.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000015_mask.png,male,medium,1.0,sample_reference,reviewed_keep
celeba_hair_000016,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000016.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000016_mask.png,female,high,1.0,sample_reference,reviewed_keep
celeba_hair_000018,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000018.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000018_mask.png,female,high,1.0,sample_reference,reviewed_keep
celeba_hair_000023,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000023.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000023_mask.png,male,medium,1.0,sample_reference,reviewed_keep
celeba_hair_000024,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000024.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000024_mask.png,male,high,1.0,sample_reference,reviewed_keep
celeba_hair_000025,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000025.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000025_mask.png,female,high,1.0,sample_reference,reviewed_keep
celeba_hair_000027,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000027.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000027_mask.png,female,high,1.0,sample_reference,reviewed_keep
celeba_hair_000029,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000029.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000029_mask.png,female,high,1.0,sample_reference,reviewed_keep
celeba_hair_000032,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000032.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000032_mask.png,male,high,1.0,sample_reference,reviewed_keep
celeba_hair_000035,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000035.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000035_mask.png,male,high,1.0,sample_reference,reviewed_keep
